model_key,mileage,engine_power,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,rental_price_per_day,fuel_electro,fuel_hybrid_petrol,fuel_petrol,car_type_coupe,car_type_estate,car_type_hatchback,car_type_sedan,car_type_subcompact,car_type_suv,car_type_van
Audi,175096,160,0,0,0,0,0,0,81,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,155503,135,0,1,0,0,0,0,110,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Audi,134094,160,0,0,0,0,0,0,126,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,156885,100,0,0,0,0,0,0,101,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,181052,120,0,1,0,0,0,0,107,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Audi,106054,160,0,1,0,0,0,0,137,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Renault,146528,140,1,1,1,0,0,0,136,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,183403,135,0,1,0,0,0,0,107,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Renault,130852,85,0,0,0,0,0,0,88,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,186697,135,0,0,0,0,0,0,49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,132746,135,0,0,0,0,0,0,109,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,101013,120,0,1,0,0,0,0,28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Renault,130019,85,0,0,0,0,0,0,28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,90747,160,0,0,0,0,0,0,106,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Renault,145179,85,0,1,0,0,0,0,97,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,87171,135,0,0,0,0,0,0,137,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,110212,135,0,0,0,0,0,0,95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,11917,110,0,0,0,0,0,0,153,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,12508,110,0,0,0,0,0,0,154,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PGO,149525,190,0,0,0,0,0,0,124,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,122357,105,0,1,0,0,0,0,117,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,165516,135,0,0,0,0,0,0,28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,158853,100,1,0,0,0,0,0,104,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,167280,105,0,1,0,0,0,0,115,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,69978,135,0,0,0,0,0,0,134,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,105105,105,0,0,0,0,0,0,77,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,170164,105,0,1,0,0,0,0,28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,153585,105,0,0,0,0,0,0,117,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Audi,156127,190,1,1,0,0,1,1,133,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,117722,122,0,0,0,0,0,0,96,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,236095,135,0,0,0,0,0,0,78,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Renault,142031,85,0,1,0,0,0,0,114,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,150807,105,0,1,0,0,0,0,107,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,185085,105,0,1,0,0,0,0,96,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,163879,120,0,0,0,0,0,0,93,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Audi,137744,200,0,1,1,0,1,0,142,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Renault,94829,85,0,0,0,0,0,0,112,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PGO,127461,190,0,1,0,0,0,0,28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,58673,135,0,0,0,0,0,0,135,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,183683,135,0,0,0,0,0,0,35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,153236,135,0,1,0,1,0,0,109,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,65933,105,0,0,0,0,0,0,123,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,77419,120,0,0,0,0,0,0,110,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,170322,120,0,0,0,0,0,0,113,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Renault,83133,85,0,1,0,0,0,0,120,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,140324,135,0,0,0,0,0,0,88,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,147097,105,0,0,0,0,0,0,28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,132871,85,1,0,0,0,0,0,66,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,109741,100,1,1,0,0,0,0,110,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,168016,135,0,1,0,0,1,1,110,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Renault,238036,120,1,1,0,0,0,0,114,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Renault,147228,85,1,1,0,0,0,0,103,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Audi,159659,190,1,1,0,1,1,1,142,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,123340,105,0,1,0,0,0,1,119,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,168068,100,0,1,0,0,0,0,89,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,163601,120,0,1,0,0,0,0,108,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,149108,135,0,1,1,0,0,0,106,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Renault,173446,135,1,1,0,0,1,0,125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,197516,135,1,1,0,0,0,0,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,170832,100,1,1,0,0,0,0,101,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,149085,135,1,1,0,0,1,0,122,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Renault,175024,135,1,1,1,0,1,1,117,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,132731,100,1,1,0,0,0,0,112,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Audi,214691,120,1,1,0,0,1,0,71,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,177568,120,0,1,0,0,0,0,101,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,106878,135,0,1,0,0,1,1,124,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peugeot,144727,105,0,1,1,0,1,1,120,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Audi,46731,140,0,0,0,0,0,0,109,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citroën,150969,135,0,0,0,0,0,0,28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
