rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_category
569445,346305,mobile,ended,-62.0,560681.0,180.0,0- No delay
569226,408179,mobile,ended,-130.0,,,0- No delay
572268,398152,connect,ended,-44.0,,,0- No delay
559415,409083,mobile,ended,-20.0,,,0- No delay
547370,349678,connect,ended,-42.0,,,0- No delay
559950,380128,mobile,ended,-68.0,557700.0,360.0,0- No delay
545200,400181,mobile,ended,-45.0,,,0- No delay
562525,359046,mobile,ended,-43.0,,,0- No delay
545297,353078,mobile,ended,-62.0,,,0- No delay
545324,381976,mobile,ended,-5.0,,,0- No delay
545454,369447,connect,ended,-72.0,,,0- No delay
545529,388219,mobile,ended,-1.0,,,0- No delay
561942,413128,mobile,ended,-22.0,,,0- No delay
561882,356630,mobile,ended,-19.0,563870.0,0.0,0- No delay
561586,376642,mobile,ended,-53.0,557899.0,630.0,0- No delay
561480,364652,connect,ended,-48.0,564545.0,60.0,0- No delay
545754,389498,mobile,ended,-74.0,,,0- No delay
561232,277587,mobile,ended,-47.0,,,0- No delay
545853,370564,mobile,ended,-4.0,,,0- No delay
545920,313952,mobile,ended,-10.0,,,0- No delay
546021,387753,connect,ended,-5.0,,,0- No delay
560994,297132,mobile,ended,-3.0,,,0- No delay
546247,339607,mobile,ended,-212.0,,,0- No delay
560834,406413,mobile,ended,-13.0,,,0- No delay
546340,342699,connect,ended,-1.0,,,0- No delay
560794,403443,mobile,ended,-102.0,,,0- No delay
546455,376369,mobile,ended,-78.0,,,0- No delay
560677,307793,connect,ended,-57.0,,,0- No delay
560639,373682,mobile,ended,-111.0,,,0- No delay
546672,227087,mobile,ended,-131.0,,,0- No delay
560530,295726,connect,ended,-11.0,,,0- No delay
547064,383625,connect,ended,-29.0,,,0- No delay
568011,385997,mobile,ended,-4.0,,,0- No delay
546064,314220,mobile,ended,-218.0,550400.0,150.0,0- No delay
542386,370029,mobile,ended,-31.0,,,0- No delay
568753,371632,connect,ended,-18.0,,,0- No delay
540497,204293,mobile,ended,-4.0,,,0- No delay
540525,397333,mobile,ended,-11.0,,,0- No delay
534543,276197,mobile,ended,-24.0,,,0- No delay
